english,spanish,endpoint,gemma2:9b,gemma3:4b,gemma3:4b-it-qat,thinkverse/towerinstruct:latest
LUNA™ Micro-Foam Cleanser,LUNA™ Micro-Foam Cleanser,luna-collection,LIMA™ Micelar Limpiador,LUNA™ Micro-Foam Cleanser,LUNA™ Micro-Foam Cleanser,Limpiafondo LUNA™ con espuma microscópica
Remove the balm and all the impurities it has collected with warm water or a washcloth. Then apply a pea-sized amount of the Micro-Foam Cleanser evenly over damp face and neck.,"Retira el bálsamo y las impurezas que ha acumulado con agua tibia o una toalla. A continuación, aplica uniformemente sobre tu rostro y cuello una cantidad del limpiador de microespuma del tamaño de un guisante.",luna-collection,"Retira el bálsamo y todas las impurezas que ha acumulado con agua tibia o un paño húmedo. Luego, aplica una cantidad del tamaño de un guisante del Limpiador Micro-Espuma uniformemente sobre el rostro y el cuello húmedos.","Retira el bálsamo y todas las impurezas que haya recogido con agua tibia o un paño húmedo. Luego, aplica una cantidad de tamaño de guisante del Limpiador Microespuma de manera uniforme sobre el rostro y el cuello.","Retira el bálsamo y todas las impurezas que haya recogido con agua tibia o un paño húmedo. Luego, aplica una cantidad del tamaño de un guisante del limpiador Micro-Foam uniformemente sobre la cara y el cuello húmedos.","Retire el bálsamo y todas las impurezas que haya recogido con agua tibia o una gasa. Luego, aplique una cantidad similar a la de un guisante del Micro-Foam Cleanser uniformemente sobre el rostro y el cuello húmedos."
LUNA™ Facial Cleansing Device,Dispositivo de limpieza facial LUNA™,luna-collection,Dispositivo facial de limpieza LUNA™,LUNA Facial Cleansing Device,LUNA™ Dispositivo de Limpieza Facial,El dispositivo de limpieza facial LUNA™.
"Wet LUNA™ 4 and press the universal button to turn on the device. Then glide the device in circular motions around your face and neck, massaging the cleanser into your pores. Once finished, rinse face/neck and device.","Humedece LUNA™ 4 y pulsa el botón central para encender el dispositivo. A continuación, desliza el dispositivo sobre tu rostro y cuello con movimientos circulares, masajeando el limpiador en los poros. Cuando finalices, aclara tu rostro, tu cuello y el dispositivo.",luna-collection,"Moja LUNA™ 4 y presiona el botón universal para encender el dispositivo. Luego, desliza el dispositivo en movimientos circulares alrededor de tu rostro y cuello, masajeando el limpiador en tus poros. Una vez terminado, enjuaga tu rostro/cuello y el dispositivo.","Humedece LUNA™ 4 y pulsa el botón universal para encender el dispositivo. Luego desliza el dispositivo en círculos alrededor de tu rostro y cuello, masajeando el limpiador en tus poros. Una vez terminado, enjuaga la cara/cuello y el dispositivo.","Humedece la LUNA™ 4 y pulsa el botón universal para encender el dispositivo. Luego desliza el dispositivo en círculos alrededor de tu rostro y cuello, masajeando el limpiador en tus poros. Una vez terminado, enjuaga la cara/cuello y el dispositivo.","Húmede LUNA™ 4 y presiona el botón universal para encender el dispositivo. Luego desliza el dispositivo en movimientos circulares alrededor de tu cara y cuello, masajeando el limpiador dentro de tus poros. Una vez terminado, enjuaga la cara/cuello y el dispositivo."
STEP 4,PASO 4,luna-collection,PASO 4,Paso 4,Paso 4,"¿Cómo se traduce ""profesional"" en español desde España?"
Firm,Reafirma,luna-collection,Empresa,Firm,Firma,Empresa: ¿Cómo puedo solicitar un presupuesto para una traducción de inglés a español desde España?
"Apply FOREO's Serum. Turn on device & press the universal button to activate firming massage, or select preferred firming massage routine in FOREO app.","Aplica FOREO Serum. Enciende el dispositivo y pulsa el botón central para activar el masaje reafirmante, o selecciona tu rutina de masaje reafirmante favorita en la aplicación de FOREO.",luna-collection,Aplica el suero de FOREO. Enciende el dispositivo y presiona el botón universal para activar el masaje reafirmante o selecciona la rutina de masaje reafirmante preferida en la aplicación FOREO.,"Aplicar el FOREO Serum. Encender el dispositivo y presionar el botón universal para activar el masaje reafirmante, o seleccionar la rutina de masaje reafirmante preferida en la app FOREO.","Aplicar el Serum de FOREO. Encender el dispositivo y presionar el botón universal para activar la masajeadora firmeadora, o seleccionar la rutina de masajeadora firmeadora preferida en la aplicación FOREO.",Aplique el Sérum de FOREO. Encienda el dispositivo y presione el botón universal para activar el masaje firme o seleccione la rutina de masaje firme preferida en la aplicación FOREO.
One-time investment,Una inversión para siempre,luna-collection,Inversión única,Inversión única,Inversión única,Inversión única.
"Sustainable Premium quality & a product life of years, with no replacement parts required. Ever.",Sostenible Un producto de calidad superior que durará muchos años y no requerirá partes remplazables. Nunca.,luna-collection,"Calidad superior sostenible y una vida útil del producto de años, sin necesidad de piezas de repuesto. Nunca.","Calidad Premium Sostenible y una vida útil de años, sin necesidad de piezas de repuesto. Nunca.","Sostenible, calidad premium y una vida útil de años, sin necesidad de piezas de repuesto. Nunca.",Sostenible De alta calidad y una vida útil de años sin necesidad de piezas de repuesto. Nunca.
"Premium quality & a product life of years, with no replacement parts required. Ever.",Un producto de calidad superior que durará muchos años y no requerirá partes remplazables. Nunca.,luna-collection,"Calidad premium y una vida útil de años, sin necesidad de piezas de repuesto. Nunca.","Calidad premium y una vida útil de años, sin necesidad de piezas de repuesto. Nunca.","Calidad premium y una vida útil de años, sin necesidad de piezas de repuesto. Nunca.",Calidad premium y una vida útil de años sin necesidad de piezas de repuesto. Nunca.
Staggering battery life USB rechargeable with up to 600 uses per single charge.,Batería de duración extrema Recargable por USB. Hasta 600 usos por carga.,luna-collection,"Increíble duración de la batería, recargable por USB con hasta 600 usos por carga única.",Duración de batería asombrosa. Recargable por USB con hasta 600 usos con una sola carga.,Duración de batería asombrosa. Recargable con USB y hasta 600 usos por una sola carga.,Vida de la batería asombrosa Re-cargable con USB y hasta 600 usos por carga única.
USB rechargeable with up to 600 uses per single charge.,Recargable por USB. Hasta 600 usos por carga.,luna-collection,Recargable mediante USB con hasta 600 usos por carga única.,USB recargable con hasta 600 usos con una sola carga.,USB recargable con hasta 600 usos por una sola carga.,Cargador USB recargable con hasta 600 usos por carga única.
"Hygienic & Waterproof Made of bacteria-resistant silicone, 100% waterproof, easy to clean.","Higiénico e impermeable Fabricado con silicona resistente a las bacterias, 100% resistente al agua y fácil de limpiar.",luna-collection,"Hígienico y resistente al agua. Fabricado con silicona resistente a las bacterias, 100% impermeable y fácil de limpiar.","Higiénico y a prueba de agua. Fabricado en silicona resistente a los bacterias, 100% impermeable, fácil de limpiar.","Higiénico y a prueba de agua. Fabricado en silicona resistente a las bacterias, 100% impermeable, fácil de limpiar.","Ecológico y resistente al agua Fabricado con silicona resistente a bacterias, es 100% impermeable e fácil de limpiar."
Hygienic & Waterproof,Higiénico e impermeable,luna-collection,Higiénico y resistente al agua,Higiénico & Impermeable,Higiénico y a prueba de agua,Higiénica y a prueba de agua.
"Made of bacteria-resistant silicone, 100% waterproof, easy to clean.","Fabricado con silicona resistente a las bacterias, 100% resistente al agua y fácil de limpiar.",luna-collection,"Hecho de silicona resistente a bacterias, al 100% impermeable, fácil de limpiar.","Hecho de silicona resistente a bacterias, 100% impermeable, fácil de limpiar.","Hecho de silicona resistente a bacterias, 100% impermeable, fácil de limpiar.","Hecha de silicona resistente a las bacterias, 100% impermeable y fácil de limpiar."
PRESS LOVES IT,PRESS LOVES IT,luna-collection,LA PRENSA LO AMA,PRESUME QUESE LO QUIERE,PRESENCIA LO QUIERE,PRENSA AMA ELLO
"FOREO, the Swedish expert in connected beauty, has come up with an express protocol to transform your bathroom into a high-tech spa.","FOREO, empresa sueca especializada en la belleza conectada, ha desarrollado protocolos exprés que transforman tu baño en un spa tecnológico.",luna-collection,"FOREO, el experto sueco en belleza conectada, ha ideado un protocolo exprés para transformar tu baño en un spa de alta tecnología.","FOREO, el experto sueco en belleza conectada, ha creado un protocolo express para transformar tu baño en un spa de alta tecnología.","FOREO, el experto sueco en belleza conectada, ha creado un protocolo express para transformar tu baño en un spa de alta tecnología.","FOREO, la experta sueca en belleza conectada, ha creado un protocolo expreso para transformar tu cuarto de baño en un spa high-tech."
The FOREO BEAR™ microcurrent device has five intensities to help lift and contour the various areas of the face. It has an anti-shock system to protect your skin and comes with a paired app to programme various facial workouts.,El dispositivo de microcorrientes FOREO BEAR™ tiene cinco intensidades para tonificar y definir las diferentes zonas del rostro. Su sistema Anti-Shock protege tu piel y la aplicación te ofrece una amplia variedad de entrenamientos faciales.,luna-collection,El dispositivo de microcorrientes FOREO BEAR™ tiene cinco intensidades para ayudar a levantar y dar forma a las diversas áreas del rostro. Tiene un sistema antichoque para proteger tu piel y viene con una aplicación emparejada para programar diversos ejercicios faciales.,El dispositivo microcorriente FOREO BEAR™ tiene cinco intensidades para ayudar a levantar y definir las diferentes zonas del rostro. Tiene un sistema anti-shock para proteger tu piel y viene con una aplicación emparejada para programar varios ejercicios faciales.,El dispositivo microcorriente FOREO BEAR™ tiene cinco intensidades para ayudar a levantar y contornear las diversas áreas del rostro. Tiene un sistema anti-choque para proteger tu piel y viene con una aplicación emparejada para programar varios ejercicios faciales.,El dispositivo de microcorrientes FOREO BEAR™ tiene cinco intensidades para ayudar a levantar y contornear las diversas áreas del rostro. Tiene un sistema anti-choque para proteger su piel y viene con una aplicación asociada para programar diversos entrenamientos faciales.
"FOREO Imagination™ has a luxurious, creamy texture, taking away the homemade feel of DIY masks and making them feel as fancy as a clinic treatment for a spa at home vibe.","FOREO Imagination™ tiene una textura cremosa y agradable que mejora la sensación de tu mascarilla facial casera para transformarla en un experiencia similar a la de un tratamiento clínico, desde la comodidad de tu casa.",luna-collection,"FOREO Imagination™ tiene una textura lujosa y cremosa, quitando la sensación casera de las mascarillas caseras y haciéndolas sentir tan sofisticadas como un tratamiento de clínica para una experiencia de spa en casa.","FOREO Imagination™ tiene una textura lujosa y cremosa, eliminando la sensación casera de las mascarillas hechas en casa y haciéndolas sentir tan elegantes como un tratamiento de clínica para un ambiente de spa en casa.","FOREO Imagination™ tiene una textura lujosa y cremosa, eliminando la sensación casera de las mascarillas hechas en casa y haciéndolas sentir tan elegantes como un tratamiento de clínica en un ambiente de spa en casa.","La textura cremosa y lujosa de FOREO Imagination™ hace que las máscaras caseras no sean tan toscas, y que se sientan tan elegantes como un tratamiento en una clínica o en un spa en casa."
